File	GenProg Repair Status without PREP	GenProg Repair Status with PREP	Category
temp-102-C-bug-580911-581173	Repair Found	Repair Found	1
temp-102-C-bug-787064-787081	Repair Found	Repair Found	1
temp-103-B-bug-1812495-1812535	Repair Found	Repair Found	1
temp-104-A-bug-10738491-10739021	Repair Found	Repair Found	1
temp-104-A-bug-10739007-10739021	Repair Found	Repair Found	1
temp-104-A-bug-13890222-13890242	Repair Found	Repair Found	1
temp-106-A-bug-14940816-14940840	Repair Found	Repair Found	1
temp-106-B-bug-11922422-11922459	Repair Found	Repair Found	1
temp-106-B-bug-1243945-1243950	Repair Found	Repair Found	1
temp-106-B-bug-17271047-17271066	Repair Found	Repair Found	1
temp-106-B-bug-4027414-4027447	Repair Found	Repair Found	1
temp-106-C-bug-4414918-4414927	Repair Found	Repair Found	1
temp-108-A-bug-17965909-17965919	Repair Found	Repair Found	1
temp-108-A-bug-8712381-8712503	Repair Found	Repair Found	1
temp-108-B-bug-634251-634394	Repair Found	Repair Found	1
temp-109-A-bug-11375365-11375393	Repair Found	Repair Found	1
temp-109-A-bug-13092782-13092815	Repair Found	Repair Found	1
temp-109-B-bug-647331-647411	Repair Found	Repair Found	1
temp-10-A-bug-1998522-1998523	Repair Found	Repair Found	1
temp-10-A-bug-4361942-4361946	Repair Found	Repair Found	1
temp-10-A-bug-5292539-5292547	Repair Found	Repair Found	1
temp-10-A-bug-7731197-7731208	Repair Found	Repair Found	1
temp-110-A-bug-17970724-17970798	Repair Found	Repair Found	1
temp-110-A-bug-18060949-18061008	Repair Found	Repair Found	1
temp-110-A-bug-18223116-18223122	Repair Found	Repair Found	1
temp-110-A-bug-18223119-18223122	Repair Found	Repair Found	1
temp-110-A-bug-18286939-18287093	Repair Found	Repair Found	1
temp-110-C-bug-12802829-12802857	Repair Found	Repair Found	1
temp-112-A-bug-17906993-17907003	Repair Found	Repair Found	1
temp-113-A-bug-683826-683913	Repair Found	Repair Found	1
temp-114-A-bug-17914312-17914321	Repair Found	Repair Found	1
temp-115-A-bug-11971331-11971340	Repair Found	Repair Found	1
temp-116-A-bug-18064500-18064513	Repair Found	Repair Found	1
temp-116-A-bug-18143922-18143982	Repair Found	Repair Found	1
temp-116-A-bug-18239435-18239445	Repair Found	Repair Found	1
temp-116-A-bug-18261626-18261697	Repair Found	Repair Found	1
temp-116-B-bug-2308784-2308812	Repair Found	Repair Found	1
temp-116-B-bug-7576928-7576963	Repair Found	Repair Found	1
temp-117-B-bug-719204-719252	Repair Found	Repair Found	1
temp-117-C-bug-7015705-7015710	Repair Found	Repair Found	1
temp-118-A-bug-18071189-18071250	Repair Found	Repair Found	1
temp-119-A-bug-16521182-16521266	Repair Found	Repair Found	1
temp-119-A-bug-16665499-16665611	Repair Found	Repair Found	1
temp-119-B-bug-788276-788281	Repair Found	Repair Found	1
temp-11-A-bug-12698258-12698286	Repair Found	Repair Found	1
temp-11-A-bug-12980172-12980175	Repair Found	Repair Found	1
temp-121-C-bug-804156-804907	Repair Found	Repair Found	1
temp-122-A-bug-18026330-18026493	Repair Found	Repair Found	1
temp-122-A-bug-18122909-18122948	Repair Found	Repair Found	1
temp-122-B-bug-5768530-5768538	Repair Found	Repair Found	1
temp-122-C-bug-8904375-8904400	Repair Found	Repair Found	1
temp-124-C-bug-5745829-5746012	Repair Found	Repair Found	1
temp-125-A-bug-1910803-1910812	Repair Found	Repair Found	1
temp-125-A-bug-817083-817096	Repair Found	Repair Found	1
temp-127-B-bug-1923967-1924014	Repair Found	Repair Found	1
temp-127-B-bug-2043633-2043634	Repair Found	Repair Found	1
temp-127-B-bug-2153652-2153684	Repair Found	Repair Found	1
temp-127-B-bug-3581818-3581832	Repair Found	Repair Found	1
temp-128-A-bug-6982590-6982598	Repair Found	Repair Found	1
temp-128-A-bug-865291-865894	Repair Found	Repair Found	1
temp-12-B-bug-11080808-11080878	Repair Found	Repair Found	1
temp-12-B-bug-14197933-14200084	Repair Found	Repair Found	1
temp-12-B-bug-15502521-15502556	Repair Found	Repair Found	1
temp-12-B-bug-9714930-9714948	Repair Found	Repair Found	1
temp-12-B-bug-9715263-9715279	Repair Found	Repair Found	1
temp-12-C-bug-2799904-2799909	Repair Found	Repair Found	1
temp-131-C-bug-7900700-7900757	Repair Found	Repair Found	1
temp-131-C-bug-8286919-8286937	Repair Found	Repair Found	1
temp-131-C-bug-8805800-8805808	Repair Found	Repair Found	1
temp-131-D-bug-10939480-10939524	Repair Found	Repair Found	1
temp-133-A-bug-17992884-17992958	Repair Found	Repair Found	1
temp-133-A-bug-17993292-17993355	Repair Found	Repair Found	1
temp-133-A-bug-18017249-18017267	Repair Found	Repair Found	1
temp-133-A-bug-18048780-18048793	Repair Found	Repair Found	1
temp-133-A-bug-18066416-18066518	Repair Found	Repair Found	1
temp-133-A-bug-18158271-18158334	Repair Found	Repair Found	1
temp-133-A-bug-18217634-18217677	Repair Found	Repair Found	1
temp-133-A-bug-18285631-18285709	Repair Found	Repair Found	1
temp-133-A-bug-18285699-18285856	Repair Found	Repair Found	1
temp-133-A-bug-18285725-18285856	Repair Found	Repair Found	1
temp-133-A-bug-18286216-18286228	Repair Found	Repair Found	1
temp-133-A-bug-18292018-18292024	Repair Found	Repair Found	1
temp-133-A-bug-18296173-18296188	Repair Found	Repair Found	1
temp-133-A-bug-18348504-18348539	Repair Found	Repair Found	1
temp-133-A-bug-18355672-18355701	Repair Found	Repair Found	1
temp-133-C-bug-925626-925706	Repair Found	Repair Found	1
temp-136-D-bug-948372-948398	Repair Found	Repair Found	1
temp-137-A-bug-8134102-8134128	Repair Found	Repair Found	1
temp-137-B-bug-5890618-5890625	Repair Found	Repair Found	1
temp-137-B-bug-6899168-6899192	Repair Found	Repair Found	1
temp-137-C-bug-2104793-2104799	Repair Found	Repair Found	1
temp-138-B-bug-976565-977115	Repair Found	Repair Found	1
temp-138-B-bug-978293-978474	Repair Found	Repair Found	1
temp-139-A-bug-14099102-14099148	Repair Found	Repair Found	1
temp-139-A-bug-14564975-14564980	Repair Found	Repair Found	1
temp-139-A-bug-15693490-15693540	Repair Found	Repair Found	1
temp-139-C-bug-1045114-1045126	Repair Found	Repair Found	1
temp-13-A-bug-14578265-14578281	Repair Found	Repair Found	1
temp-140-D-bug-8373362-8373372	Repair Found	Repair Found	1
temp-140-F-bug-1016008-1016010	Repair Found	Repair Found	1
temp-141-A-bug-17590395-17590407	Repair Found	Repair Found	1
temp-141-B-bug-10646503-10646512	Repair Found	Repair Found	1
temp-141-B-bug-12854738-12854834	Repair Found	Repair Found	1
temp-141-B-bug-12854822-12854834	Repair Found	Repair Found	1
temp-142-B-bug-1042002-1042009	Repair Found	Repair Found	1
temp-143-A-bug-13069818-13069827	Repair Found	Repair Found	1
temp-143-A-bug-13245338-13245361	Repair Found	Repair Found	1
temp-143-A-bug-13549283-13549295	Repair Found	Repair Found	1
temp-143-A-bug-15971380-15972424	Repair Found	Repair Found	1
temp-143-A-bug-18178577-18178589	Repair Found	Repair Found	1
temp-143-B-bug-1181415-1181418	Repair Found	Repair Found	1
temp-143-B-bug-16287126-16287150	Repair Found	Repair Found	1
temp-144-A-bug-17252165-17252186	Repair Found	Repair Found	1
temp-144-A-bug-17252167-17252186	Repair Found	Repair Found	1
temp-144-A-bug-17331392-17331402	Repair Found	Repair Found	1
temp-144-A-bug-17545888-17545977	Repair Found	Repair Found	1
temp-144-A-bug-17704918-17704932	Repair Found	Repair Found	1
temp-144-A-bug-18035986-18035991	Repair Found	Repair Found	1
temp-144-A-bug-18061142-18061295	Repair Found	Repair Found	1
temp-144-A-bug-18280198-18280235	Repair Found	Repair Found	1
temp-144-A-bug-18358095-18358576	Repair Found	Repair Found	1
temp-146-B-bug-1113178-1113179	Repair Found	Repair Found	1
temp-146-B-bug-1117801-1117804	Repair Found	Repair Found	1
temp-146-B-bug-1147707-1147719	Repair Found	Repair Found	1
temp-146-B-bug-1237616-1237618	Repair Found	Repair Found	1
temp-146-B-bug-16622388-16622448	Repair Found	Repair Found	1
temp-146-B-bug-18287394-18287404	Repair Found	Repair Found	1
temp-146-B-bug-3823679-3823682	Repair Found	Repair Found	1
temp-146-D-bug-11330003-11330029	Repair Found	Repair Found	1
temp-147-A-bug-1015775-1015776	Repair Found	Repair Found	1
temp-147-A-bug-1045605-1045611	Repair Found	Repair Found	1
temp-147-A-bug-1116758-1116767	Repair Found	Repair Found	1
temp-147-B-bug-1016631-1016640	Repair Found	Repair Found	1
temp-148-A-bug-18222473-18222595	Repair Found	Repair Found	1
temp-148-B-bug-4035263-4035278	Repair Found	Repair Found	1
temp-148-B-bug-4035267-4035278	Repair Found	Repair Found	1
temp-148-E-bug-1143556-1143614	Repair Found	Repair Found	1
temp-149-A-bug-16896380-16896493	Repair Found	Repair Found	1
temp-149-A-bug-17830069-17830179	Repair Found	Repair Found	1
temp-149-B-bug-1170437-1170470	Repair Found	Repair Found	1
temp-149-B-bug-1174486-1174545	Repair Found	Repair Found	1
temp-149-B-bug-1174544-1174545	Repair Found	Repair Found	1
temp-149-B-bug-1183413-1183415	Repair Found	Repair Found	1
temp-149-B-bug-9212927-9212935	Repair Found	Repair Found	1
temp-149-E-bug-1173031-1173038	Repair Found	Repair Found	1
temp-14-A-bug-18271954-18272030	Repair Found	Repair Found	1
temp-14-B-bug-10930781-10930890	Repair Found	Repair Found	1
temp-14-B-bug-13104829-13104860	Repair Found	Repair Found	1
temp-14-B-bug-15850390-15850395	Repair Found	Repair Found	1
temp-14-D-bug-13962610-13962664	Repair Found	Repair Found	1
temp-150-B-bug-5820415-5820417	Repair Found	Repair Found	1
temp-151-A-bug-16821519-16821541	Repair Found	Repair Found	1
temp-151-A-bug-17395141-17395169	Repair Found	Repair Found	1
temp-151-B-bug-15847826-15847842	Repair Found	Repair Found	1
temp-151-B-bug-3998597-3998604	Repair Found	Repair Found	1
temp-151-B-bug-4600936-4600952	Repair Found	Repair Found	1
temp-151-B-bug-8846030-8846110	Repair Found	Repair Found	1
temp-152-C-bug-1236847-1236851	Repair Found	Repair Found	1
temp-152-D-bug-1212519-1212531	Repair Found	Repair Found	1
temp-155-B-bug-5078213-5078284	Repair Found	Repair Found	1
temp-156-D-bug-1253646-1253650	Repair Found	Repair Found	1
temp-158-A-bug-18164999-18165022	Repair Found	Repair Found	1
temp-158-A-bug-18257527-18257589	Repair Found	Repair Found	1
temp-158-C-bug-10962474-10962539	Repair Found	Repair Found	1
temp-158-C-bug-9815086-9815194	Repair Found	Repair Found	1
temp-158-C-bug-9967801-9967822	Repair Found	Repair Found	1
temp-158-E-bug-1314156-1314160	Repair Found	Repair Found	1
temp-160-B-bug-14660992-14661027	Repair Found	Repair Found	1
temp-161-A-bug-4277456-4277469	Repair Found	Repair Found	1
temp-165-A-bug-7936885-7936970	Repair Found	Repair Found	1
temp-165-A-bug-7936967-7936970	Repair Found	Repair Found	1
temp-165-B-bug-11900403-11900412	Repair Found	Repair Found	1
temp-166-A-bug-10685737-10686166	Repair Found	Repair Found	1
temp-166-A-bug-10686292-10686462	Repair Found	Unknown	Unknown
temp-166-A-bug-10695723-10695839	Repair Found	Repair Found	1
temp-166-A-bug-11517296-11517321	Repair Found	Repair Found	1
temp-166-A-bug-13703427-13703776	Repair Found	Repair Found	1
temp-166-A-bug-15786911-15786964	Repair Found	Repair Found	1
temp-166-C-bug-1395587-1395933	Repair Found	Repair Found	1
temp-166-C-bug-1395810-1395933	Repair Found	Repair Found	1
temp-166-C-bug-4531246-4531250	Repair Found	Repair Found	1
temp-166-E-bug-10326734-10326753	Repair Found	Repair Found	1
temp-168-A-bug-13551581-13551590	Repair Found	Repair Found	1
temp-169-B-bug-3110954-3110959	Repair Found	Repair Found	1
temp-16-A-bug-12687907-12687919	Repair Found	Repair Found	1
temp-16-B-bug-13868547-13868578	Repair Found	Repair Found	1
temp-16-B-bug-3929377-3929378	Repair Found	Repair Found	1
temp-16-B-bug-6128994-6129000	Repair Found	Repair Found	1
temp-16-B-bug-6479653-6479660	Repair Found	Repair Found	1
temp-172-A-bug-2045330-2045333	Repair Found	Repair Found	1
temp-172-A-bug-2045366-2045368	Repair Found	Repair Found	1
temp-172-B-bug-2096087-2096089	Repair Found	Repair Found	1
temp-173-A-bug-4169928-4169966	Repair Found	Repair Found	1
temp-175-A-bug-6201339-6201343	Repair Found	Repair Found	1
temp-177-B1-bug-13511622-13511662	Repair Found	Repair Found	1
temp-177-C1-bug-9961273-9961279	Repair Found	Repair Found	1
temp-17-B-bug-665905-665907	Repair Found	Repair Found	1
temp-17-B-bug-7993385-7993409	Repair Found	Repair Found	1
